"\"ach! hans, run!\"";["unh"];["g","r"];6.0;"enchantment";["enchantment"];;;"{2}{r}{r}{g}{g}";
"\"rumors of my death . . .\"";["ust"];["b"];3.0;"enchantment";["enchantment"];;;"{2}{b}";
"1996 world champion";["pcel"];["b","g","r","u","w"];5.0;"summon — legend";["summon"];;;"{w}{u}{b}{r}{g}";
"awol";["unh"];["w"];3.0;"instant";["instant"];;;"{2}{w}";
"awol (b)";["unh"];["w"];3.0;"instant";["instant"];;;"{2}{w}";
"abandon hope";["tmp"];["b"];2.0;"sorcery";["sorcery"];;;"{x}{1}{b}";
"abandon reason";["emn"];["r"];3.0;"instant";["instant"];;;"{2}{r}";
"abandoned outpost";["ody"];[];0.0;"land";["land"];;;;
"abandoned sarcophagus";["hou","phou"];[];3.0;"artifact";["artifact"];;;"{3}";
"abattoir ghoul";["ddq","isd"];["b"];4.0;"creature — zombie";["creature"];"3";"2";"{3}{b}";
"abbey gargoyles";["5ed","hml","me2","ptc"];["w"];5.0;"creature — gargoyle";["creature"];"3";"4";"{2}{w}{w}{w}";
"abbey griffin";["isd"];["w"];4.0;"creature — griffin";["creature"];"2";"2";"{3}{w}";
"abbey matron";["hml"];["w"];3.0;"creature — human cleric";["creature"];"1";"3";"{2}{w}";
"abbot of keral keep";["ori","pori","prm"];["r"];2.0;"creature — human monk";["creature"];"2";"1";"{1}{r}";
"abduction";["6ed","wc97","wth"];["u"];4.0;"enchantment — aura";["enchantment"];;;"{2}{u}{u}";
"abeyance";["wc97","wc98","wth"];["w"];2.0;"instant";["instant"];;;"{1}{w}";
"abhorrent overlord";["prm","pths","ths"];["b"];7.0;"creature — demon";["creature"];"6";"6";"{5}{b}{b}";
"abjure";["wth"];["u"];1.0;"instant";["instant"];;;"{u}";
"abnormal endurance";["m19"];["b"];2.0;"instant";["instant"];;;"{1}{b}";
"abolish";["ddf","pcy"];["w"];3.0;"instant";["instant"];;;"{1}{w}{w}";
"abomination";["4ed","leg","ren"];["b"];5.0;"creature — horror";["creature"];"2";"6";"{3}{b}{b}";
"abomination of gudul";["ktk"];["b","g","u"];6.0;"creature — horror";["creature"];"3";"4";"{3}{b}{g}{u}";
"aboroth";["wth"];["g"];6.0;"creature — elemental";["creature"];"9";"9";"{4}{g}{g}";
"aboshan's desire";["ody"];["u"];1.0;"enchantment — aura";["enchantment"];;;"{u}";
"aboshan, cephalid emperor";["ody"];["u"];6.0;"legendary creature — cephalid";["creature"];"3";"3";"{4}{u}{u}";
"about face";["ulg"];["r"];1.0;"instant";["instant"];;;"{r}";
"abrade";["hou","phou","prm"];["r"];2.0;"instant";["instant"];;;"{1}{r}";
"abrupt decay";["gk1","mm3","prm","pwcq","rtr"];["b","g"];2.0;"instant";["instant"];;;"{b}{g}";
"absolute grace";["usg"];["w"];2.0;"enchantment";["enchantment"];;;"{1}{w}";
"absolute law";["usg","wc00"];["w"];2.0;"enchantment";["enchantment"];;;"{1}{w}";
"absolver thrull";["gpt"];["w"];4.0;"creature — thrull cleric";["creature"];"2";"3";"{3}{w}";
"absorb";["inv","rna"];["u","w"];3.0;"instant";["instant"];;;"{w}{u}{u}";
"absorb vis";["cn2","con","ddk","mma"];["b"];7.0;"sorcery";["sorcery"];;;"{6}{b}";
"abstruse interference";["ogw"];[];3.0;"instant";["instant"];;;"{2}{u}";
"abu ja'far";["arn","chr","prm","rin"];["w"];1.0;"creature — human";["creature"];"0";"1";"{w}";
"abuna acolyte";["som"];["w"];2.0;"creature — cat cleric";["creature"];"1";"1";"{1}{w}";
"abuna's chant";["5dn"];["w"];4.0;"instant";["instant"];;;"{3}{w}";
"abundance";["10e","c17","ddr","usg"];["g"];4.0;"enchantment";["enchantment"];;;"{2}{g}{g}";
"abundant growth";["avr","ema"];["g"];1.0;"enchantment — aura";["enchantment"];;;"{g}";
"abundant maw";["emn"];[];8.0;"creature — eldrazi leech";["creature"];"6";"4";"{8}";
"abyssal gatekeeper";["ddc","dvd","td0","wth"];["b"];2.0;"creature — horror";["creature"];"1";"1";"{1}{b}";
"abyssal horror";["7ed","s99","usg"];["b"];6.0;"creature — horror";["creature"];"2";"2";"{4}{b}{b}";
