"\"Ach! Hans, Run!\"";["UNH"];["G","R"];6.0;"Enchantment";["Enchantment"];;;"{2}{R}{R}{G}{G}";
"\"Rumors of My Death . . .\"";["UST"];["B"];3.0;"Enchantment";["Enchantment"];;;"{2}{B}";
"1996 World Champion";["PCEL"];["B","G","R","U","W"];5.0;"Summon — Legend";["Summon"];;;"{W}{U}{B}{R}{G}";
"AWOL";["UNH"];["W"];3.0;"Instant";["Instant"];;;"{2}{W}";
"AWOL (b)";["UNH"];["W"];3.0;"Instant";["Instant"];;;"{2}{W}";
"Abandon Hope";["TMP"];["B"];2.0;"Sorcery";["Sorcery"];;;"{X}{1}{B}";
"Abandon Reason";["EMN"];["R"];3.0;"Instant";["Instant"];;;"{2}{R}";
"Abandoned Outpost";["ODY"];[];0.0;"Land";["Land"];;;;
"Abandoned Sarcophagus";["HOU","PHOU"];[];3.0;"Artifact";["Artifact"];;;"{3}";
"Abattoir Ghoul";["DDQ","ISD"];["B"];4.0;"Creature — Zombie";["Creature"];"3";"2";"{3}{B}";
"Abbey Gargoyles";["5ED","HML","ME2","PTC"];["W"];5.0;"Creature — Gargoyle";["Creature"];"3";"4";"{2}{W}{W}{W}";
"Abbey Griffin";["ISD"];["W"];4.0;"Creature — Griffin";["Creature"];"2";"2";"{3}{W}";
"Abbey Matron";["HML"];["W"];3.0;"Creature — Human Cleric";["Creature"];"1";"3";"{2}{W}";
"Abbot of Keral Keep";["ORI","PORI","PRM"];["R"];2.0;"Creature — Human Monk";["Creature"];"2";"1";"{1}{R}";
"Abduction";["6ED","WC97","WTH"];["U"];4.0;"Enchantment — Aura";["Enchantment"];;;"{2}{U}{U}";
"Abeyance";["WC97","WC98","WTH"];["W"];2.0;"Instant";["Instant"];;;"{1}{W}";
"Abhorrent Overlord";["PRM","PTHS","THS"];["B"];7.0;"Creature — Demon";["Creature"];"6";"6";"{5}{B}{B}";
"Abjure";["WTH"];["U"];1.0;"Instant";["Instant"];;;"{U}";
"Abnormal Endurance";["M19"];["B"];2.0;"Instant";["Instant"];;;"{1}{B}";
"Abolish";["DDF","PCY"];["W"];3.0;"Instant";["Instant"];;;"{1}{W}{W}";
"Abomination";["4ED","LEG","REN"];["B"];5.0;"Creature — Horror";["Creature"];"2";"6";"{3}{B}{B}";
"Abomination of Gudul";["KTK"];["B","G","U"];6.0;"Creature — Horror";["Creature"];"3";"4";"{3}{B}{G}{U}";
"Aboroth";["WTH"];["G"];6.0;"Creature — Elemental";["Creature"];"9";"9";"{4}{G}{G}";
"Aboshan's Desire";["ODY"];["U"];1.0;"Enchantment — Aura";["Enchantment"];;;"{U}";
"Aboshan, Cephalid Emperor";["ODY"];["U"];6.0;"Legendary Creature — Cephalid";["Creature"];"3";"3";"{4}{U}{U}";
"About Face";["ULG"];["R"];1.0;"Instant";["Instant"];;;"{R}";
"Abrade";["HOU","PHOU","PRM"];["R"];2.0;"Instant";["Instant"];;;"{1}{R}";
"Abrupt Decay";["GK1","MM3","PRM","PWCQ","RTR"];["B","G"];2.0;"Instant";["Instant"];;;"{B}{G}";
"Absolute Grace";["USG"];["W"];2.0;"Enchantment";["Enchantment"];;;"{1}{W}";
"Absolute Law";["USG","WC00"];["W"];2.0;"Enchantment";["Enchantment"];;;"{1}{W}";
"Absolver Thrull";["GPT"];["W"];4.0;"Creature — Thrull Cleric";["Creature"];"2";"3";"{3}{W}";
"Absorb";["INV","RNA"];["U","W"];3.0;"Instant";["Instant"];;;"{W}{U}{U}";
"Absorb Vis";["CN2","CON","DDK","MMA"];["B"];7.0;"Sorcery";["Sorcery"];;;"{6}{B}";
"Abstruse Interference";["OGW"];[];3.0;"Instant";["Instant"];;;"{2}{U}";
"Abu Ja'far";["ARN","CHR","PRM","RIN"];["W"];1.0;"Creature — Human";["Creature"];"0";"1";"{W}";
"Abuna Acolyte";["SOM"];["W"];2.0;"Creature — Cat Cleric";["Creature"];"1";"1";"{1}{W}";
"Abuna's Chant";["5DN"];["W"];4.0;"Instant";["Instant"];;;"{3}{W}";
"Abundance";["10E","C17","DDR","USG"];["G"];4.0;"Enchantment";["Enchantment"];;;"{2}{G}{G}";
"Abundant Growth";["AVR","EMA"];["G"];1.0;"Enchantment — Aura";["Enchantment"];;;"{G}";
